Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
44356.00,EQ,4020.05,4045.00,3905.05,4001.20,3936.75,3936.50,3983.81,4483.00,1801.00,391867.00,1561124352.40,35386.00
44355.00,EQ,3890.00,4047.10,3784.15,3889.80,3994.00,4001.20,3981.06,4483.00,1801.00,662186.00,2636205506.95,49500.00
44354.00,EQ,3851.25,3907.10,3808.95,3856.60,3885.90,3889.80,3866.62,4483.00,1801.00,149995.00,579974337.20,16028.00
44351.00,EQ,3849.00,3879.60,3830.00,3837.50,3855.00,3856.60,3859.84,4483.00,1795.00,170587.00,658438323.15,20053.00
44350.00,EQ,3881.10,3881.10,3812.00,3838.45,3840.00,3837.50,3837.18,4483.00,1795.00,199548.00,765701492.00,17614.00
44349.00,EQ,3847.95,3850.00,3770.00,3890.65,3836.05,3838.45,3807.79,4483.00,1795.00,383860.00,1461657804.75,35258.00
44348.00,EQ,3956.00,3965.00,3856.80,3942.40,3889.00,3890.65,3888.91,4483.00,1795.00,180333.00,701298130.35,22153.00
44347.00,EQ,3969.00,3970.00,3911.10,3930.45,3947.00,3942.40,3948.39,4483.00,1795.00,186099.00,734792308.10,21063.00
44344.00,EQ,3960.00,3994.90,3912.95,3924.30,3939.00,3930.45,3959.82,4483.00,1767.05,464949.00,1841113944.45,36469.00
44343.00,EQ,3818.80,3938.00,3801.00,3799.85,3935.05,3924.30,3879.16,4483.00,1767.05,788685.00,3059433879.30,59913.00
44342.00,EQ,3730.00,3818.00,3689.00,3707.50,3803.00,3799.85,3770.03,4483.00,1767.05,364653.00,1374752786.35,35202.00
44341.00,EQ,3688.00,3744.00,3665.00,3664.25,3715.00,3707.50,3709.96,4483.00,1767.05,317127.00,1176529565.60,35490.00
44340.00,EQ,3685.00,3695.00,3643.00,3655.65,3677.55,3664.25,3667.13,4483.00,1767.05,169770.00,622568508.00,19397.00
44337.00,EQ,3702.00,3702.40,3635.10,3673.75,3659.95,3655.65,3661.86,4483.00,1600.00,259149.00,948967473.25,31462.00
44336.00,EQ,3753.90,3766.45,3656.05,3747.70,3676.10,3673.75,3680.61,4483.00,1600.00,360209.00,1325787092.05,32321.00
44335.00,EQ,3670.00,3760.90,3651.05,3635.40,3753.90,3747.70,3730.37,4483.00,1600.00,718564.00,2680510528.00,65441.00
44334.00,EQ,3625.00,3656.85,3588.00,3583.65,3656.80,3635.40,3612.82,4483.00,1600.00,655849.00,2369461953.95,53197.00
44333.00,EQ,3600.00,3600.00,3525.00,3598.35,3598.00,3583.65,3565.28,4483.00,1600.00,371290.00,1323752854.10,58912.00
44330.00,EQ,3698.00,3699.90,3592.00,3662.00,3595.95,3598.35,3614.33,4483.00,1590.80,256284.00,926294536.15,43544.00
44328.00,EQ,3618.00,3693.00,3615.00,3618.85,3661.50,3662.00,3666.72,4483.00,1590.80,307626.00,1127978418.85,35645.00
44327.00,EQ,3645.45,3654.85,3588.70,3665.45,3619.00,3618.85,3609.07,4483.00,1590.80,612773.00,2211539129.25,70967.00
44326.00,EQ,3798.00,3798.00,3633.80,3768.60,3673.00,3665.45,3673.51,4483.00,1590.80,680722.00,2500641536.60,99373.00
44323.00,EQ,3864.90,3864.90,3752.00,3812.35,3765.00,3768.60,3785.26,4483.00,1503.25,269501.00,1020132612.10,46636.00
44322.00,EQ,3905.00,3905.00,3794.95,3915.15,3811.95,3812.35,3816.57,4483.00,1503.25,517358.00,1974534183.80,65830.00
44321.00,EQ,3903.35,3964.95,3810.30,3846.40,3910.00,3915.15,3891.69,4483.00,1503.25,390169.00,1518415438.65,42914.00
44320.00,EQ,3941.00,3943.95,3835.00,3923.60,3860.00,3846.40,3864.73,4483.00,1503.25,249163.00,962946635.85,29163.00
44319.00,EQ,3903.00,3940.00,3850.00,3890.25,3928.00,3923.60,3907.88,4483.00,1503.25,178549.00,697747970.35,18354.00
44316.00,EQ,3840.00,3929.70,3831.00,3851.00,3887.00,3890.25,3892.31,4483.00,1421.35,303588.00,1181659508.45,43682.00
44315.00,EQ,3940.80,3940.80,3830.00,3890.85,3850.00,3851.00,3859.82,4483.00,1421.35,257788.00,995015328.25,33691.00
44314.00,EQ,3930.00,3947.45,3834.15,3909.70,3890.00,3890.85,3877.86,4483.00,1421.35,297881.00,1155139431.50,35127.00
44313.00,EQ,3965.00,3965.00,3901.00,3934.05,3911.00,3909.70,3921.47,4483.00,1421.35,156767.00,614756652.05,25857.00
44312.00,EQ,3961.35,3995.95,3901.00,3901.05,3937.05,3934.05,3948.83,4483.00,1421.35,152758.00,603214815.10,18397.00
44309.00,EQ,3918.00,3990.00,3850.00,3915.25,3910.80,3901.05,3936.67,4483.00,1385.05,184712.00,727150204.85,28026.00
44308.00,EQ,3986.00,3999.00,3883.00,3969.25,3918.00,3915.25,3946.47,4483.00,1385.05,202748.00,800138259.05,28030.00
44306.00,EQ,4065.10,4120.00,3915.10,4063.35,3975.00,3969.25,3996.97,4483.00,1385.05,269477.00,1077092153.65,37217.00
44305.00,EQ,4060.00,4090.00,3962.30,4089.90,4057.00,4063.35,4042.01,4483.00,1385.05,174917.00,707015842.65,20608.00
44302.00,EQ,4095.00,4175.00,4052.30,4045.20,4071.55,4089.90,4118.38,4483.00,1385.05,307827.00,1267749726.30,31307.00
44301.00,EQ,4110.00,4111.60,3962.20,4108.25,4050.00,4045.20,4025.25,4483.00,1385.05,265495.00,1068684985.00,34789.00
44299.00,EQ,4270.00,4323.15,4065.00,4257.75,4105.95,4108.25,4150.43,4483.00,1385.05,335455.00,1392281507.30,39518.00
44298.00,EQ,4380.00,4389.00,4124.15,4378.60,4255.45,4257.75,4245.49,4483.00,1385.05,294617.00,1250792666.05,33497.00
44295.00,EQ,4280.00,4450.00,4275.00,4326.05,4381.90,4378.60,4395.43,4483.00,1335.55,379136.00,1666466480.55,33731.00
44294.00,EQ,4290.00,4387.95,4270.50,4298.45,4324.00,4326.05,4343.57,4483.00,1335.55,291750.00,1267236432.95,27341.00
44293.00,EQ,4225.50,4325.00,4184.05,4257.55,4300.00,4298.45,4270.02,4483.00,1335.55,246137.00,1051009782.45,28859.00
44292.00,EQ,4300.00,4349.90,4234.50,4269.50,4278.10,4257.55,4284.86,4483.00,1335.55,286197.00,1226314030.15,32729.00
44291.00,EQ,4115.00,4296.80,4079.05,4112.80,4290.00,4269.50,4213.84,4483.00,1335.55,456022.00,1921604792.70,45549.00
44287.00,EQ,4082.00,4189.00,4072.30,4054.30,4121.05,4112.80,4123.65,4483.00,1335.55,213617.00,880880730.15,26199.00
44286.00,EQ,4175.00,4175.00,4022.75,4163.00,4073.00,4054.30,4105.09,4483.00,1335.55,229616.00,942593997.65,26527.00
44285.00,EQ,3995.00,4244.00,3919.00,3947.25,4180.00,4163.00,4083.16,4483.00,1335.55,354360.00,1446906819.60,34865.00
44281.00,EQ,3865.30,3975.00,3859.40,3837.70,3960.00,3947.25,3923.52,4483.00,1228.00,138918.00,545047498.15,18282.00
44280.00,EQ,3990.65,3990.65,3784.85,3972.20,3835.00,3837.70,3838.69,4483.00,1228.00,269938.00,1036209536.10,38104.00
44279.00,EQ,4030.00,4065.00,3951.70,4034.50,3978.30,3972.20,4006.40,4483.00,1228.00,129661.00,519474450.25,18581.00
44278.00,EQ,4120.00,4136.10,4020.50,4093.10,4054.70,4034.50,4068.93,4483.00,1228.00,198149.00,806255023.30,26696.00
44277.00,EQ,4090.00,4191.95,4075.10,4075.10,4090.25,4093.10,4131.06,4483.00,1228.00,251199.00,1037717019.40,27200.00
44274.00,EQ,3970.00,4095.15,3910.00,4007.45,4030.00,4075.10,4036.94,4483.00,1210.00,279744.00,1129310403.45,27402.00
44273.00,EQ,4070.00,4136.00,3950.00,4048.30,4028.90,4007.45,4004.03,4483.00,1210.00,327009.00,1309354706.75,31875.00
44272.00,EQ,4115.95,4188.75,4020.00,4115.95,4050.00,4048.30,4097.84,4483.00,1210.00,319928.00,1311012301.15,32294.00
44271.00,EQ,4120.00,4198.00,4073.00,4087.35,4118.00,4115.95,4132.66,4483.00,1210.00,361187.00,1492663841.00,37023.00
44270.00,EQ,4048.00,4120.00,3967.00,4016.05,4086.00,4087.35,4069.77,4483.00,1210.00,311584.00,1268074882.70,35902.00
44267.00,EQ,4168.00,4174.95,4000.00,4128.95,4033.00,4016.05,4064.66,4483.00,1210.00,354537.00,1441073972.25,39733.00
44265.00,EQ,3955.00,4150.00,3936.05,3896.50,4142.00,4128.95,4092.84,4483.00,1210.00,1096653.00,4488427096.80,104281.00
44264.00,EQ,3889.00,3920.00,3859.85,3866.20,3910.15,3896.50,3888.41,4483.00,1210.00,100893.00,392313423.80,18156.00
44263.00,EQ,3870.00,3955.00,3846.00,3845.15,3879.65,3866.20,3909.89,4483.00,1210.00,162750.00,636334302.60,19399.00
44260.00,EQ,3910.00,3920.00,3820.00,3924.70,3844.00,3845.15,3861.54,4483.00,1210.00,132490.00,511615056.65,18544.00
44259.00,EQ,3880.30,4015.00,3811.15,3911.15,3916.00,3924.70,3965.82,4483.00,1210.00,251366.00,996872656.80,30426.00
44258.00,EQ,3868.00,3967.00,3851.00,3832.80,3903.00,3911.15,3913.38,4483.00,1210.00,232927.00,911531529.25,27367.00
44257.00,EQ,3640.55,3894.00,3627.00,3608.05,3880.00,3832.80,3760.49,4483.00,1210.00,394399.00,1483132990.95,46414.00
44256.00,EQ,3590.00,3695.20,3590.00,3599.85,3615.00,3608.05,3631.74,4483.00,1210.00,190862.00,693161870.25,31562.00
44253.00,EQ,3625.00,3648.55,3570.00,3656.50,3603.95,3599.85,3615.60,4483.00,1210.00,240333.00,868949127.50,41643.00
44252.00,EQ,3730.00,3763.80,3640.00,3718.75,3659.00,3656.50,3685.02,4483.00,1210.00,251215.00,925733311.90,28741.00
44251.00,EQ,3788.35,3825.00,3701.00,3754.55,3735.00,3718.75,3735.63,4483.00,1210.00,50985.00,190461199.05,8885.00
44250.00,EQ,3800.85,3851.00,3750.00,3793.70,3755.00,3754.55,3783.36,4483.00,1210.00,90928.00,344013236.15,24162.00
44249.00,EQ,3822.00,3854.95,3775.00,3820.65,3785.15,3793.70,3801.39,4483.00,1210.00,63480.00,241312548.45,18678.00
44246.00,EQ,3925.00,3925.00,3808.00,3871.30,3822.00,3820.65,3845.64,4483.00,1210.00,120226.00,462345851.15,25369.00
44245.00,EQ,3839.70,3977.35,3836.05,3875.90,3874.90,3871.30,3890.27,4483.00,1210.00,147042.00,572033276.20,30725.00
44244.00,EQ,3956.00,3974.55,3867.00,3944.95,3885.90,3875.90,3901.75,4483.00,1210.00,105727.00,412519903.55,23992.00
44243.00,EQ,4033.95,4058.00,3920.00,4032.20,3956.00,3944.95,3983.03,4483.00,1210.00,92060.00,366678183.40,22590.00
44242.00,EQ,4060.00,4075.00,4001.00,4039.90,4015.00,4032.20,4050.50,4483.00,1210.00,69804.00,282741212.60,21477.00
44239.00,EQ,4026.35,4077.70,3990.00,4026.35,4052.00,4039.90,4029.70,4483.00,1210.00,65326.00,263244394.45,14053.00
44238.00,EQ,3983.00,4049.90,3980.00,3999.90,4010.00,4026.35,4017.11,4483.00,1210.00,87408.00,351127890.35,14872.00
44237.00,EQ,4075.00,4100.00,3957.80,4067.80,4003.90,3999.90,4000.00,4483.00,1210.00,109185.00,436739640.40,20367.00
44236.00,EQ,4121.70,4169.85,4046.40,4101.90,4079.95,4067.80,4110.41,4483.00,1210.00,90282.00,371096160.20,15455.00
44235.00,EQ,4161.80,4165.40,4075.00,4124.65,4118.00,4101.90,4104.10,4483.00,1210.00,111277.00,456692406.95,21419.00
44232.00,EQ,4301.00,4320.00,4118.60,4303.70,4136.00,4124.65,4171.16,4483.00,1210.00,142196.00,593121879.55,32606.00
44231.00,EQ,4317.00,4379.95,4252.15,4305.50,4297.00,4303.70,4314.99,4483.00,1210.00,146650.00,632793118.80,21826.00
44230.00,EQ,4050.00,4347.00,4038.55,4038.55,4295.00,4305.50,4226.25,4483.00,1210.00,343177.00,1450353134.00,36638.00
44229.00,EQ,3977.25,4100.00,3951.00,3937.65,4055.00,4038.55,4041.31,4483.00,1210.00,158015.00,638587866.50,29057.00
44228.00,EQ,3997.00,4010.00,3905.00,3963.90,3978.00,3937.65,3965.51,4483.00,1210.00,128714.00,510416281.65,23785.00
44225.00,EQ,4006.60,4048.55,3780.00,3970.85,3999.00,3963.90,3906.61,4483.00,1210.00,236889.00,925433655.35,37843.00
44224.00,EQ,3990.00,4049.95,3950.00,4025.80,3969.80,3970.85,3986.34,4483.00,1210.00,117674.00,469088118.50,21042.00
44223.00,EQ,3913.70,4115.00,3850.00,3893.85,4028.00,4025.80,3998.41,4483.00,1210.00,349263.00,1396496207.40,51969.00
44221.00,EQ,3954.00,3995.90,3870.00,3929.45,3887.00,3893.85,3934.40,4483.00,1210.00,173743.00,683574220.50,15296.00
44218.00,EQ,3970.00,4028.80,3910.00,3979.35,3930.00,3929.45,3959.81,4483.00,1210.00,147463.00,583926155.20,28864.00
44217.00,EQ,4170.00,4179.95,3960.00,4090.95,3974.80,3979.35,4051.08,4483.00,1210.00,193223.00,782762202.80,38689.00
44216.00,EQ,4107.00,4240.10,4062.00,4091.35,4100.00,4090.95,4150.63,4483.00,1210.00,233400.00,968755926.65,38876.00
44215.00,EQ,4087.00,4169.80,4051.70,4008.85,4094.95,4091.35,4095.83,4483.00,1210.00,432450.00,1771242481.10,24868.00
44214.00,EQ,4289.95,4292.00,3968.60,4287.85,4008.55,4008.85,4093.17,4483.00,1210.00,194306.00,795327120.55,38120.00
44211.00,EQ,4430.00,4483.00,4200.00,4390.70,4292.00,4287.85,4331.48,4483.00,1210.00,219119.00,949109799.35,30119.00
44210.00,EQ,4420.00,4480.00,4338.00,4402.45,4380.00,4390.70,4389.47,4480.00,1210.00,322695.00,1416460832.55,45020.00
44209.00,EQ,4300.00,4435.00,4271.00,4285.15,4430.00,4402.45,4343.04,4444.00,1210.00,376243.00,1634038784.65,41546.00
44208.00,EQ,4225.25,4444.00,4170.00,4245.15,4308.00,4285.15,4316.31,4444.00,1210.00,559357.00,2414358714.65,66899.00
44207.00,EQ,4150.00,4280.00,4065.00,4092.20,4250.00,4245.15,4163.78,4280.00,1210.00,426541.00,1776022541.35,49955.00
44204.00,EQ,3920.85,4114.00,3920.00,3882.90,4088.00,4092.20,4035.26,4198.90,1210.00,582258.00,2349562896.55,54921.00
44203.00,EQ,3998.05,4029.00,3870.00,3956.90,3885.00,3882.90,3919.88,4198.90,1210.00,363617.00,1425336474.30,39527.00
44202.00,EQ,4147.00,4159.00,3935.00,4129.35,3968.00,3956.90,4044.34,4198.90,1210.00,597076.00,2414779847.05,62848.00
44201.00,EQ,3845.00,4198.90,3803.00,3845.35,4150.00,4129.35,4003.86,4198.90,1210.00,840857.00,3366670234.90,98135.00
44200.00,EQ,3729.60,3909.90,3709.45,3699.30,3888.95,3845.35,3789.89,3909.90,1210.00,373949.00,1417227163.35,40018.00
44197.00,EQ,3653.00,3749.30,3625.05,3659.50,3694.00,3699.30,3710.51,3749.30,1210.00,285207.00,1058262459.65,35444.00
44196.00,EQ,3642.00,3675.00,3611.05,3661.15,3656.90,3659.50,3648.21,3698.50,1210.00,263584.00,961611005.20,31228.00
44195.00,EQ,3609.95,3674.90,3565.80,3609.95,3652.00,3661.15,3620.65,3698.50,1210.00,269551.00,975949687.90,28010.00
44194.00,EQ,3651.05,3672.75,3583.15,3640.75,3608.00,3609.95,3617.05,3698.50,1210.00,153207.00,554157499.05,21961.00
